code,zoning,resdev
BP,1,0
CR-1,5,2
CR-2,3,2
CR-3,2,2
DC-1,2,0
DC-2,1,0
MHP,4,1
NH-1,8,1
NL-1,3,0
NL-2,3,0
NL-3,6,0
NL-4,2,0
NL-5,6,0
NM-1,4,1
NM-2,6,1
OR,9,2
P,4,0
P/SP,0,0
PR-SK,2,0
PUD-NH-1,4,1
PUD-NL-2,1,1
PUD-NL-3,2,1
PUD-NL-5,1,1
PUD-NM-2,1,1
PUD-UR,1,1
R,6,0
TS-1,1,0
TS-2,1,0
